dependent,independent,corr,eg_stat,eg_pvalue,beta,half_life,cointegrated,tradeable_hl,candidate
XTZ-USD,UNI-USD,0.8970516665171601,-2.3111568831495832,0.19651935090938438,0.8761169472879773,12.494193400309134,False,True,False
SOL-USD,LTC-USD,0.6466653604436976,-2.302176807258996,0.19769853492758244,0.5617951323684763,25.166275827984045,False,True,False
DOT-USD,XTZ-USD,0.8668464465646577,-2.2936750880232926,0.1988149053872638,0.7576223268250257,20.72347553078895,False,True,False
ADA-USD,BTC-USD,0.8608370601862066,-2.2735931830448526,0.20145188325850533,1.3692663105111136,38.66111839507803,False,True,False
LINK-USD,BTC-USD,0.7595718100137314,-2.2612295725371707,0.203075363070426,0.907077481023262,30.130169363573984,False,True,False
ALGO-USD,SOL-USD,0.6431698009162321,-2.2492278656872027,0.20465132089984864,1.2232951723193923,61.26035103676089,False,True,False
ATOM-USD,AVAX-USD,0.8230390390637291,-2.2339994180388363,0.20665098574764146,0.6790949903259069,27.931265953123887,False,True,False
XLM-USD,BTC-USD,0.9120915101279939,-2.196147456678396,0.21162137001137207,2.2880542044109586,28.822279234709974,False,True,False
ALGO-USD,LINK-USD,0.8778833793360291,-2.1841514193274847,0.21319658337240038,1.1737083605878926,28.57167793105854,False,True,False
AAVE-USD,UNI-USD,0.6022086066682318,-2.1728528727770935,0.21468020842005206,0.8146714237192959,51.94242045262227,False,True,False
ATOM-USD,MATIC-USD,0.781706315634592,-2.1346975655714306,0.21969042537306405,0.44567510577451663,26.570224685405805,False,True,False
ATOM-USD,ETC-USD,0.8950796729373007,-2.0921537789997657,0.22527689856217376,1.0027813355311155,16.30971723663543,False,True,False
ALGO-USD,BTC-USD,0.7274981555609431,-2.0781543437742487,0.22711518038549686,1.1615310262421372,63.9390079601652,False,True,False
DOT-USD,UNI-USD,0.6901445656383385,-2.0682680947405574,0.2284133550337394,0.5891084984911235,50.502937306379266,False,True,False
ADA-USD,SOL-USD,0.6139467404073972,-2.0275838543798335,0.23375564908675286,1.1633338470463286,73.39644766472372,False,True,False
XTZ-USD,MATIC-USD,0.6688680692324019,-2.003652611371937,0.23689808792962552,0.5157801417831834,40.374545109523005,False,True,False
LINK-USD,BCH-USD,0.7273351521839353,-2.003419486242996,0.2369286998564774,0.9442617349074844,36.926722046767956,False,True,False
